clip,timestamp,rat003_center_x,rat003_center_y,rat004_center_x,rat004_center_y,rat005_center_x,rat005_center_y,rat006_center_x,rat006_center_y,rat007_center_x,rat007_center_y,rat010_center_x,rat010_center_y,rat030_center_x,rat030_center_y,rat031_center_x,rat031_center_y,rat032_center_x,rat032_center_y,rat033_center_x,rat033_center_y,rat034_center_x,rat034_center_y,rat035_center_x,rat035_center_y
C1,1718890989467239312,2002,395,2001,505,2018,942,1741,709,1685,842,1614,773,471,592,216,264,897,412,149,104,1136,145,398,262
C1,1718890989567239328,2002,391,1999,507,2026,939,1723,686,1690,841,1615,771,493,585,214,264,897,412,154,103,1136,144,372,264
C1,1718890989667239240,2005,384,1998,508,2026,941,1711,672,1687,840,1615,766,514,580,216,267,897,412,153,105,1137,146,355,269
C1,1718890989767239160,2014,371,1982,510,2032,938,1702,657,1681,840,1613,766,539,572,216,267,898,412,151,107,1138,147,346,272
C1,1718890989867239040,2028,355,1989,510,2038,935,1695,637,1682,838,1609,768,570,569,214,265,898,413,149,108,1141,149,335,271
C1,1718890989967239016,2046,339,1989,509,2042,932,1695,626,1688,837,1613,763,574,575,216,266,898,413,148,112,1144,150,319,271
C1,1718890990067238952,2058,326,1988,508,2050,933,1696,611,1688,837,1615,766,589,569,216,267,898,413,146,113,1144,149,319,277
C1,1718890990167238856,2061,316,1989,507,2060,938,1693,593,1687,839,1618,767,601,573,219,268,897,414,146,114,1147,149,313,290
C1,1718890990267238792,2070,307,1988,508,2064,940,1693,575,1689,846,1617,774,604,579,216,266,898,414,146,115,1155,153,315,321
C1,1718890990367238696,2084,299,1987,508,2063,940,1697,561,1690,849,1624,778,605,579,214,266,898,414,147,111,1163,152,314,336
C1,1718890990467238712,2096,288,1990,507,2066,940,1702,550,1683,854,1627,778,606,579,212,264,899,414,142,83,1167,152,320,343
C1,1718890990567238624,2100,276,1993,505,2066,939,1704,548,1683,853,1625,777,603,580,212,260,898,414,127,86,1174,153,329,348
C1,1718890990667238504,2106,258,1991,506,2067,939,1705,542,1687,854,1623,777,603,580,213,261,900,414,125,95,1182,159,326,350
C1,1718890990767238528,2116,238,1990,506,2068,940,1709,536,1689,848,1618,774,605,580,213,260,901,414,113,119,1186,163,324,351
C1,1718890990867238440,2128,210,1988,507,2066,941,1712,533,1683,850,1615,772,605,583,214,260,901,415,122,139,1188,162,316,354
C1,1718890990967238360,2127,183,1982,508,2065,941,1713,534,1678,850,1609,767,602,587,214,260,901,415,131,146,1192,165,294,370
C1,1718890991067238248,2129,163,1978,509,2065,943,1719,529,1663,847,1602,760,598,584,211,259,901,415,130,149,1188,171,273,380
C1,1718890991167238288,2131,136,1979,513,2065,943,1715,535,1645,846,1591,751,598,584,207,255,902,415,128,153,1191,176,248,398
C1,1718890991267238168,2127,126,1976,516,2065,943,1713,538,1637,849,1581,749,595,586,209,256,901,415,126,154,1290,170,242,407
C1,1718890991367238064,2124,123,1972,513,2064,943,1712,540,1633,846,1575,750,592,589,205,255,901,415,123,161,1317,174,237,411
C1,1718890991467237992,2129,115,1975,517,2064,942,1711,542,1628,839,1573,749,588,590,204,253,904,415,117,163,1327,181,234,416
C1,1718890991567237976,2132,109,1979,526,2062,942,1712,543,1622,829,1576,747,584,598,205,255,916,418,113,164,1331,190,229,419
C1,1718890991667237952,2131,108,1984,540,2063,942,1713,539,1618,822,1576,745,576,602,209,259,931,423,104,165,1346,198,220,417
C1,1718890991767237864,2137,99,1987,564,2060,941,1718,526,1600,824,1577,745,584,610,209,259,945,426,98,165,1365,210,211,416
C1,1718890991867237808,2135,93,1990,581,2063,941,1722,517,1594,825,1577,746,583,616,204,255,961,430,99,169,1386,229,207,419
